Remarks,RCA,Query,Type,open_tokens,l1l2l4_category,l1l2l3_category,brand,color,pack size
relevant results,,antiseptic liquid,Generic Words (Narrow),,['Groceries: Personal Care - Antiseptics & Antifungal Remedies'],['Groceries: Personal Care - Health & Wellness'],,,
"shows surf excel bars, then bars from other companies",,surf excel bar,Generic + Brand,,['Groceries: Home Care - Detergent Bars'],['Groceries: Home Care - Detergents & Cleaners'],['surf excel'],,
"relevant results, shows some 2kg results, then 1 then 5",,toor dal 2kg,Generic + PackSize,,['Groceries: Cooking Essentials - Toor Dal'],['Groceries: Cooking Essentials - Dals & Pulses'],,,['2kg']
relevant results,,hair mask,Generic Words (Broad),,"['Groceries: Personal Care - Hair & Scalp Treatment','Groceries: Personal Care - Hair Care & Styling']","['Groceries: Personal Care - Hair Care','Groceries: Personal Care - Men's Grooming']",,,
relevant results,,dhoop batti,Generic Words (Narrow),,['Home & Lifestyle: Prayer & Spiritual Needs - Dry Dhoop'],['Home & Lifestyle: Prayer & Spiritual Needs - Dhoop'],,,
has results from odonil but scrambled across the page,,room freshner odonil,Generic + Brand,,['Groceries: Home Care - Air Freshener'],,['odonil'],,
relevant results,,limca 2l,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Cold Drinks']",,,,['2l']
relevant results,,peanuts raw,Generic Words (Broad),,['Groceries: Cooking Essentials - Peanuts'],,,,
results show mustard oil of different brands,,oil mustard,Generic Words (Narrow),,['Groceries: Cooking Essentials - Mustard Oil'],,,,
"shows rusk from britannia with a lot of other rusks, possibly due to lack of britannia rusks",,rusk britannia,Generic + Brand,,['Groceries: Dairy & Bakery - Rusk'],,['britannia'],,
"shows relevant results, with 5kg packs",,ata 5 kg,Generic + PackSize,,['Groceries: Cooking Essentials - Atta'],,,,['5 kg']
"pencil needs to be replaced with AAA, shows batteries in general",,pencil cell,Generic Words (Broad),,['Home & Lifestyle: DIY - Household Batteries'],,,,
shows relevant results,,rajma chitra,Generic Words (Narrow),,['Groceries: Cooking Essentials - Rajma'],,,,
shows relevant results,,act 2 popcorn,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Chips & Corn Snacks']",,['act 2'],,
"shows 1kg tomato first, then tomato seeds",,tomato 1kg,Generic + PackSize,,['Groceries: Fruits & Vegetables - Tomato'],,,,['1kg']
shows soya beans and granules,,soya bean,Generic Words (Broad),['soya bean'],['Groceries: Cooking Essentials - Soyabean'],,,,
relevant results with some chips,,wafers,Generic Words (Narrow),['wafers'],,,,,
shows cream from himalaya brand,,himalaya cream,Generic + Brand,,,['Groceries: Personal Care - Skin Care'],['himalaya'],,
works as expected,,arhar dal 1kg,Generic + PackSize,['1kg'],['Groceries: Cooking Essentials - Toor Dal'],,,,['1kg']
